Title,Description,Status,Epic,Sprint
Criar Repositório e Doc,"Inicializar pasta raiz do monorepo e subir a documentação Mestra.",To Do,Infraestrutura,Sprint Zero
Configurar Docker Compose,"Criar o arquivo docker-compose.yml com banco PostgreSQL e pgAdmin4 isolados para preparar os microserviços.",To Do,Infraestrutura,Sprint Zero
Configurar API Gateway,"Criar o projeto easypet-gateway usando Spring Cloud Gateway na porta 8080 para roteaamento central.",To Do,Infraestrutura,Sprint Zero
Inicializar Auth Service,"Criar o serviço auth-service (porta 8081). Configurar Spring Security e a geração de JWTs provisórios.",To Do,Identidade (Auth),Sprint 1
Modelo Business e Modulos,"Criar a entidade Business e o Enum ModuleType no business-service (porta 8082).",To Do,Gestão de Negócios (Business),Sprint 1
Endpoints de Lojas,"Criar BusinessController com endpoint /api/businesses para listar lojas do Marketplace.",To Do,Gestão de Negócios (Business),Sprint 1
Modelo Product e Category,"Criar entidades no catalog-service (8083). Produto deve ter chave lógica businessId.",To Do,E-Commerce (Catalog),Sprint 2
Endpoints de Catálogo,"Criar ProductController com CRUD e integração OpenFeign para validar o businessId.",To Do,E-Commerce (Catalog),Sprint 2
Configurar Angular 18/19+,"Criar frontend com as pastas core e features. Instalar Tailwind v3 e DaisyUI.",To Do,Frontend App,Sprint 3
Painel da Loja (Admin),"Frontend: Criar tela do Backoffice para o dono cadastrar sua loja e produtos.",To Do,Frontend App,Sprint 3
Visão Marketplace (Cliente),"Frontend: Criar a Homepage listando todas as lojas (Grid de Cards estilo app de comida).",To Do,Frontend App,Sprint 3
Reserva Vet/Banho,"Criar appointment-service para agendamentos baseado nas horas ativas da Business.",To Do,Agendamentos,Sprint Futura
Múltiplos Endereços,"Permitir cadastro de múltiplos endereços de entrega para o checkout do Marketplace.",To Do,Perfil de Usuários,Sprint Futura
Gestão e Prontuário Pet,"Criar gestão do Pet (Caderneta de Vacinação/Prontuário) acessível pelo tutor e clínica.",To Do,Gestão de Pets,Sprint Futura
